"","scenario","true.pi","dist.of.pi","num.studies","sample.sizes","heterogeneity","bias","bias.prop","RMSE","RMSE.prop","coverage"
"62",62,0.001,"beta",15,"large",0.5,-1.34420313303057e-05,-0.0134420313303057,1.15526684562281e-07,0.000115526684562281,0.952
"63",63,0.001,"beta",15,"mix",0.1,1.00940522131163e-05,0.0100940522131163,6.35273260932126e-07,0.000635273260932126,0.969
"64",64,0.001,"beta",15,"mix",0.5,2.74224184161803e-05,0.0274224184161803,6.57185485193909e-07,0.000657185485193909,0.966
"65",65,0.001,"beta",30,"small",0.1,1.15162336172774e-05,0.0115162336172774,1.29401396110477e-06,0.00129401396110476,0.945
"66",66,0.001,"beta",30,"small",0.5,6.85163930053445e-06,0.00685163930053445,1.21044836904796e-06,0.00121044836904796,0.949
"67",67,0.001,"beta",30,"medium",0.1,6.37243524587213e-06,0.00637243524587213,2.65325663919162e-07,0.000265325663919162,0.975
"68",68,0.001,"beta",30,"medium",0.5,1.0706395813202e-05,0.010706395813202,2.65269892591189e-07,0.000265269892591189,0.965
"69",69,0.001,"beta",30,"large",0.1,6.60106588159781e-06,0.00660106588159781,5.75854640706717e-08,5.75854640706717e-05,0.949
"70",70,0.001,"beta",30,"large",0.5,-1.69262932637451e-06,-0.00169262932637451,5.40431052183534e-08,5.40431052183534e-05,0.961
"71",71,0.001,"beta",30,"mix",0.1,-1.30448979534235e-06,-0.00130448979534235,2.77006892203022e-07,0.000277006892203022,0.968
"72",72,0.001,"beta",30,"mix",0.5,-9.53305370519864e-06,-0.00953305370519864,2.61434531107458e-07,0.000261434531107458,0.975
"73",73,0.002,"NA",5,"small",0,0.000214149591573776,0.107074795786888,1.35336570260908e-05,0.00676682851304541,0.973
"74",74,0.002,"NA",5,"medium",0,2.96738940079617e-05,0.0148369470039809,3.17085376560197e-06,0.00158542688280099,0.962
"75",75,0.002,"NA",5,"large",0,-1.4608387407106e-05,-0.00730419370355302,6.92345166837021e-07,0.00034617258341851,0.966
"76",76,0.002,"NA",5,"mix",0,4.44563946014662e-05,0.0222281973007331,2.24115771189067e-06,0.00112057885594533,0.969
"77",77,0.002,"NA",5,"small",0,-1.156454725243e-05,-0.00578227362621498,1.55831024013225e-05,0.00779155120066127,0.966
"78",78,0.002,"NA",5,"medium",0,-1.85894115418379e-05,-0.00929470577091896,3.11575230273692e-06,0.00155787615136846,0.964
"79",79,0.002,"NA",5,"large",0,6.85106958218099e-07,0.00034255347910905,6.9999347003654e-07,0.00034999673501827,0.958
"80",80,0.002,"NA",5,"mix",0,-3.11268013368592e-05,-0.0155634006684296,2.4053014485306e-06,0.0012026507242653,0.963
"81",81,0.002,"NA",15,"small",0,-7.24607994122199e-05,-0.03623039970611,5.1943374059095e-06,0.00259716870295475,0.946
"82",82,0.002,"NA",15,"medium",0,3.99008334293853e-06,0.00199504167146927,1.04062790917102e-06,0.000520313954585509,0.963
"83",83,0.002,"NA",15,"large",0,-4.56593907308159e-06,-0.00228296953654079,2.22514466206006e-07,0.000111257233103003,0.95
"84",84,0.002,"NA",15,"mix",0,7.51733149942797e-05,0.0375866574971399,1.2024714852901e-06,0.000601235742645052,0.974
"85",85,0.002,"NA",15,"small",0,-2.56606724782341e-05,-0.0128303362391171,4.62474948598105e-06,0.00231237474299052,0.96
"86",86,0.002,"NA",15,"medium",0,3.85959757350169e-05,0.0192979878675085,1.04772833068502e-06,0.000523864165342509,0.965
"87",87,0.002,"NA",15,"large",0,2.61811632560594e-05,0.0130905816280297,2.17910786449673e-07,0.000108955393224836,0.957
"88",88,0.002,"NA",15,"mix",0,-1.16024399478264e-05,-0.00580121997391318,1.33720585350496e-06,0.00066860292675248,0.963
"89",89,0.002,"NA",30,"small",0,0.000118898188435946,0.0594490942179731,2.28300618699521e-06,0.00114150309349761,0.972
"90",90,0.002,"NA",30,"medium",0,2.04098413433917e-05,0.0102049206716958,5.3402069089465e-07,0.000267010345447325,0.959
"91",91,0.002,"NA",30,"large",0,-1.10592940116776e-05,-0.00552964700583882,1.07900395024765e-07,5.39501975123826e-05,0.956
"92",92,0.002,"NA",30,"mix",0,1.49116925539585e-05,0.00745584627697924,5.24663889595526e-07,0.000262331944797763,0.959
"93",93,0.002,"NA",30,"small",0,-5.1262768098667e-06,-0.00256313840493335,2.36934324629634e-06,0.00118467162314817,0.969
"94",94,0.002,"NA",30,"medium",0,-6.61713116531837e-06,-0.00330856558265919,5.50223768389786e-07,0.000275111884194893,0.951
"95",95,0.002,"NA",30,"large",0,1.79896763287356e-06,0.000899483816436781,1.04561386690378e-07,5.22806933451888e-05,0.951
"96",96,0.002,"NA",30,"mix",0,-2.12397750063134e-05,-0.0106198875031567,5.75029221834591e-07,0.000287514610917295,0.963
"97",97,0.002,"unif",5,"small",0.1,4.35542962552175e-06,0.00217771481276088,1.45875098178249e-05,0.00729375490891247,0.975
"98",98,0.002,"unif",5,"small",0.5,0.000146110516049702,0.073055258024851,1.36660409117505e-05,0.00683302045587525,0.967
"99",99,0.002,"unif",5,"medium",0.1,-5.97452784951066e-06,-0.00298726392475533,3.36587458706024e-06,0.00168293729353012,0.963
"100",100,0.002,"unif",5,"medium",0.5,2.85955760867149e-05,0.0142977880433574,3.25144774498893e-06,0.00162572387249446,0.962
"101",101,0.002,"unif",5,"large",0.1,1.6266168868256e-05,0.00813308443412802,6.88336710365813e-07,0.000344168355182906,0.968
"102",102,0.002,"unif",5,"large",0.5,1.3991271630868e-06,0.000699563581543399,7.12526379543761e-07,0.00035626318977188,0.963
"103",103,0.002,"unif",5,"mix",0.1,2.25822824751174e-05,0.0112911412375587,2.15912866800251e-06,0.00107956433400126,0.97
"104",104,0.002,"unif",5,"mix",0.5,-1.13822607778289e-05,-0.00569113038891447,2.32649351670828e-06,0.00116324675835414,0.961
"105",105,0.002,"unif",15,"small",0.1,3.127656976555e-05,0.015638284882775,5.03556704201904e-06,0.00251778352100952,0.948
"106",106,0.002,"unif",15,"small",0.5,2.35077023315675e-05,0.0117538511657837,5.03041199725227e-06,0.00251520599862614,0.951
"107",107,0.002,"unif",15,"medium",0.1,6.85694217591479e-06,0.0034284710879574,1.06745297436217e-06,0.000533726487181085,0.972
"108",108,0.002,"unif",15,"medium",0.5,-8.23102243852436e-06,-0.00411551121926218,1.03782847310191e-06,0.000518914236550953,0.966
"109",109,0.002,"unif",15,"large",0.1,8.79219096718489e-06,0.00439609548359244,2.19605583884622e-07,0.000109802791942311,0.956
"110",110,0.002,"unif",15,"large",0.5,-2.7136779307338e-05,-0.013568389653669,2.2712656667572e-07,0.00011356328333786,0.941
"111",111,0.002,"unif",15,"mix",0.1,2.67782551656967e-05,0.0133891275828484,1.2099817511778e-06,0.000604990875588902,0.973
"112",112,0.002,"unif",15,"mix",0.5,-8.11281755105856e-05,-0.0405640877552928,1.22269428205368e-06,0.000611347141026839,0.965
"113",113,0.002,"unif",30,"small",0.1,-3.69858019943601e-05,-0.0184929009971801,2.50586545107946e-06,0.00125293272553973,0.966
"114",114,0.002,"unif",30,"small",0.5,2.41729417535997e-05,0.0120864708767998,2.31951234831362e-06,0.00115975617415681,0.971
"115",115,0.002,"unif",30,"medium",0.1,3.21981950559821e-05,0.016099097527991,5.03595772415243e-07,0.000251797886207621,0.965
"116",116,0.002,"unif",30,"medium",0.5,-3.53527530531142e-05,-0.0176763765265571,5.12290683113215e-07,0.000256145341556607,0.956
"117",117,0.002,"unif",30,"large",0.1,2.14043441021524e-06,0.00107021720510762,1.13617273227906e-07,5.68086366139529e-05,0.943
"118",118,0.002,"unif",30,"large",0.5,5.02759766995576e-06,0.00251379883497788,1.16116553067781e-07,5.80582765338907e-05,0.951
"119",119,0.002,"unif",30,"mix",0.1,-1.47296764083802e-05,-0.00736483820419009,5.82928075400437e-07,0.000291464037700219,0.96
"120",120,0.002,"unif",30,"mix",0.5,2.82140006405972e-05,0.0141070003202986,5.17511545635591e-07,0.000258755772817795,0.97
"121",121,0.002,"beta",5,"small",0.1,0.00021615810009472,0.10807905004736,1.38789565135706e-05,0.00693947825678529,0.973
"122",122,0.002,"beta",5,"small",0.5,-0.000206074120716325,-0.103037060358163,1.6997111897373e-05,0.0084985559486865,0.968
"123",123,0.002,"beta",5,"medium",0.1,-7.61363838914639e-06,-0.0038068191945732,3.40357037629889e-06,0.00170178518814945,0.959
"124",124,0.002,"beta",5,"medium",0.5,1.37255443478786e-06,0.000686277217393931,3.54015881496695e-06,0.00177007940748347,0.955
"125",125,0.002,"beta",5,"large",0.1,1.80447298214729e-06,0.000902236491073644,6.69203315998523e-07,0.000334601657999261,0.971
"126",126,0.002,"beta",5,"large",0.5,3.87918183456615e-05,0.0193959091728308,6.97990670446006e-07,0.000348995335223003,0.977
"127",127,0.002,"beta",5,"mix",0.1,3.17126619498865e-06,0.00158563309749432,2.43601514619255e-06,0.00121800757309627,0.958
"128",128,0.002,"beta",5,"mix",0.5,-6.26995180778732e-05,-0.0313497590389366,2.38402218445798e-06,0.00119201109222899,0.968
"129",129,0.002,"beta",15,"small",0.1,9.01338550249692e-05,0.0450669275124846,4.32761620608351e-06,0.00216380810304175,0.967
"130",130,0.002,"beta",15,"small",0.5,4.46939032815855e-05,0.0223469516407928,5.13691084486917e-06,0.00256845542243458,0.96
"131",131,0.002,"beta",15,"medium",0.1,3.31048874547006e-05,0.0165524437273503,1.0499699123986e-06,0.000524984956199299,0.96
"132",132,0.002,"beta",15,"medium",0.5,-1.00413336040374e-05,-0.00502066680201868,1.13202584179168e-06,0.000566012920895838,0.961
"133",133,0.002,"beta",15,"large",0.1,1.10202940307179e-05,0.00551014701535897,2.16694830901365e-07,0.000108347415450682,0.954
"134",134,0.002,"beta",15,"large",0.5,1.59137953238993e-05,0.00795689766194966,2.16542775265352e-07,0.000108271387632676,0.958
"135",135,0.002,"beta",15,"mix",0.1,-1.40541679464084e-05,-0.00702708397320419,1.33705401054672e-06,0.00066852700527336,0.961
"136",136,0.002,"beta",15,"mix",0.5,1.71906122994657e-05,0.00859530614973284,1.27331734552656e-06,0.000636658672763278,0.969
"137",137,0.002,"beta",30,"small",0.1,1.36528149135159e-05,0.00682640745675796,2.35465817624238e-06,0.00117732908812119,0.969
"138",138,0.002,"beta",30,"small",0.5,4.99276870882415e-05,0.0249638435441208,2.38853145748955e-06,0.00119426572874478,0.972
"139",139,0.002,"beta",30,"medium",0.1,5.16285077896937e-06,0.00258142538948469,4.98758312808314e-07,0.000249379156404157,0.967
"140",140,0.002,"beta",30,"medium",0.5,6.13398289615106e-06,0.00306699144807553,5.56792146589302e-07,0.000278396073294651,0.962
"141",141,0.002,"beta",30,"large",0.1,1.25687927149942e-05,0.00628439635749708,1.08395601861416e-07,5.4197800930708e-05,0.956
"142",142,0.002,"beta",30,"large",0.5,-4.28015574163228e-07,-0.000214007787081614,1.14266883867201e-07,5.71334419336004e-05,0.947
"143",143,0.002,"beta",30,"mix",0.1,3.52912482832074e-06,0.00176456241416037,5.71590769674369e-07,0.000285795384837185,0.961
"144",144,0.002,"beta",30,"mix",0.5,1.1298372100908e-05,0.00564918605045398,5.12380224531594e-07,0.000256190112265797,0.972
"145",145,0.005,"NA",5,"small",0,4.02867046700767e-05,0.00805734093401535,4.14880259519263e-05,0.00829760519038527,0.959
"146",146,0.005,"NA",5,"medium",0,-5.04763047775215e-05,-0.0100952609555043,8.40734912133474e-06,0.00168146982426695,0.957
"147",147,0.005,"NA",5,"large",0,2.23522760129432e-05,0.00447045520258865,1.79456897150663e-06,0.000358913794301325,0.945
"148",148,0.005,"NA",5,"mix",0,-5.77133358738214e-05,-0.0115426671747643,5.93011910305698e-06,0.0011860238206114,0.956
"149",149,0.005,"NA",5,"small",0,-6.20690954567345e-05,-0.0124138190913469,3.93178443426954e-05,0.00786356886853909,0.955
"150",150,0.005,"NA",5,"medium",0,-4.33193214158713e-05,-0.00866386428317426,8.28123952947259e-06,0.00165624790589452,0.96
"151",151,0.005,"NA",5,"large",0,4.64833648789341e-05,0.00929667297578682,1.72531016140699e-06,0.000345062032281398,0.949
"152",152,0.005,"NA",5,"mix",0,4.99819404461987e-05,0.00999638808923974,6.51436854664494e-06,0.00130287370932899,0.958
