"","scenario","run","dist.of.pi","num.of.studies","true.pi","heterogeneity","sample.pi","est","ci.lb","ci.ub"
"65",287,65,"beta",30,0.01,0.1,0.00999528486999559,0.010717230008244,0.00783982301545876,0.0146351378286182
"66",287,66,"beta",30,0.01,0.1,0.00999689832044698,0.00824248869981388,0.00580244811179984,0.0116965414216604
"67",287,67,"beta",30,0.01,0.1,0.00999966976144974,0.0068166325835053,0.00440187873286186,0.0105420298589138
"68",287,68,"beta",30,0.01,0.1,0.0100202718930579,0.0100055586720788,0.00722574139427122,0.013839891899449
"69",287,69,"beta",30,0.01,0.1,0.00999980274148465,0.00908806016922601,0.00632257841529685,0.0130472748931502
"70",287,70,"beta",30,0.01,0.1,0.0100007041274723,0.0106439595529537,0.0078168831582474,0.0144785642924538
"71",287,71,"beta",30,0.01,0.1,0.00998149260254255,0.0107238606148615,0.00787571556169419,0.0145868548357641
"72",287,72,"beta",30,0.01,0.1,0.0100070099809361,0.0128040973111396,0.00971736602959971,0.0168546437486653
"73",287,73,"beta",30,0.01,0.1,0.00998550613251964,0.0111666176902733,0.00813561192721212,0.0153094260738835
"74",287,74,"beta",30,0.01,0.1,0.0100183870170082,0.0119017472830773,0.00895365541336627,0.0158050511482375
"75",287,75,"beta",30,0.01,0.1,0.00998871465229572,0.0106221547986737,0.00785925170986261,0.0143423096136183
"76",287,76,"beta",30,0.01,0.1,0.00997464701376335,0.00950828579190451,0.00683446885489166,0.0132142494041692
"77",287,77,"beta",30,0.01,0.1,0.0100019334356721,0.0101198402130498,0.00737208578789972,0.0138774308893877
"78",287,78,"beta",30,0.01,0.1,0.00999755179143356,0.0128365685660614,0.00946526405241891,0.0173875743318912
"79",287,79,"beta",30,0.01,0.1,0.0100054293773246,0.00841705131686227,0.00592546055788354,0.0119437406039084
"80",287,80,"beta",30,0.01,0.1,0.00997741817671238,0.0124966764158468,0.00940177502071639,0.0165933002131808
"81",287,81,"beta",30,0.01,0.1,0.00999794638518947,0.0106951871657754,0.00796835289092215,0.0143416756493861
"82",287,82,"beta",30,0.01,0.1,0.0100063397516843,0.00925673836101578,0.00662142513055218,0.0129272515837442
"83",287,83,"beta",30,0.01,0.1,0.0100082325887369,0.00722394220846237,0.00499232944013941,0.0104426351276006
"84",287,84,"beta",30,0.01,0.1,0.0100048061867481,0.00909946658299977,0.00633052402244628,0.0130636096547645
